,likes_count,comments_count,common_friends_count,is_friend
378,1,0,0,1
3587,1,0,1,0
6937,3,0,0,0
2979,1,0,2,0
4657,2,0,0,0
5657,1,0,90,0
5622,5,0,1,0
3140,1,0,0,0
2102,2,0,0,0
3413,2,0,0,0
4247,1,0,0,0
2042,1,0,1,0
929,1,0,0,1
552,2,0,2,0
2213,1,0,1,0
6757,3,0,1,0
5751,3,0,2,0
2178,1,0,0,1
3951,4,0,0,1
3858,1,0,1,0
3611,1,0,2,0
6871,6,0,0,0
5654,1,0,0,1
1778,1,0,1,0
4393,1,0,1,0
4691,6,0,0,1
1064,1,0,0,1
2810,1,0,0,1
5017,1,0,1,0
6492,1,0,1,0
3381,2,0,1,0
3294,2,0,0,0
5842,12,3,1,0
6422,4,0,0,1
6596,4,0,1,0
4817,5,0,0,1
1403,3,0,2,0
5897,1,0,1,0
5448,6,0,0,0
6003,6,2,1,0
3004,9,0,2,0
5055,1,0,0,0
6385,6,0,1,0
4776,3,0,0,0
4939,1,0,1,0
1598,2,0,0,0
1186,10,0,0,1
1728,1,0,1,0
5906,1,0,1,0
2958,1,0,0,0
363,1,0,1,1
6038,1,0,1,0
4029,1,0,0,0
4854,3,0,0,1
6836,2,1,1,0
4269,1,0,1,0
6143,4,0,1,0
5623,1,0,1,0
1182,8,0,0,1
278,1,0,3,0
531,1,0,2,0
2295,1,0,0,1
390,4,0,1,1
2431,5,0,0,1
5290,3,0,1,0
12,2,0,0,1
844,4,0,0,1
2759,1,0,0,1
2395,1,0,0,1
2823,1,0,0,1
596,1,0,1,0
497,3,0,0,1
1319,1,0,0,1
6451,2,1,0,1
3788,1,0,1,0
5574,3,0,0,1
598,2,0,0,1
5135,1,0,1,0
2159,1,0,1,0
1274,6,0,2,1
5969,2,0,1,0
1344,1,0,1,0
4487,1,0,0,1
4490,1,0,1,0
1368,1,0,0,1
1719,3,0,1,0
6027,2,0,0,0
4695,2,0,1,0
2087,1,0,0,1
338,1,0,0,1
6066,3,0,1,0
5611,1,0,1,0
2597,1,0,1,0
6334,1,0,2,0
6484,1,0,0,1
4837,0,1,265,0
671,3,0,0,1
1320,1,0,0,0
397,3,0,2,0
6839,1,0,0,1
4790,1,0,1,0
3545,1,0,0,0
6137,3,0,1,0
5547,1,0,3,0
4829,0,1,0,1
124,4,1,2,0
5270,1,0,1,0
1617,2,0,0,0
3711,1,0,1,0
5172,2,0,0,1
4989,1,0,0,0
2369,2,0,1,0
2361,9,0,2,0
5422,2,0,1,0
2897,3,0,1,0
4981,2,0,0,0
1203,7,0,0,1
1359,1,0,1,0
5488,1,0,0,1
3157,2,0,1,0
2990,8,0,2,0
684,3,0,0,1
6880,1,0,0,1
5943,2,0,0,0
5023,2,0,0,0
5762,1,0,1,0
1978,1,0,1,0
5394,2,0,0,0
1580,6,0,1,0
885,2,0,0,1
4153,7,0,1,0
5881,2,0,0,1
1835,1,0,1,0
1067,1,0,0,1
6128,1,0,0,0
4672,1,0,0,1
5067,1,0,1,0
1055,3,0,1,0
2718,2,0,0,1
657,1,1,0,1
6380,2,0,0,0
2556,1,0,0,1
5201,2,0,1,0
2033,1,0,1,0
5944,2,0,1,0
3138,6,0,1,0
3734,2,0,0,0
993,1,0,1,0
6088,4,0,1,0
6350,3,0,1,0
6231,1,0,0,1
4368,1,0,3,0
6420,3,0,0,1
3518,4,0,1,0
6123,3,0,1,0
547,1,0,1,0
4120,1,0,0,0
6926,1,0,2,0
6355,2,0,1,0
3126,11,0,1,0
2372,2,0,0,1
2819,2,0,0,1
567,3,0,2,1
1877,1,0,0,1
4505,2,0,1,0
4378,1,0,0,1
648,2,0,1,0
1431,3,0,0,0
5016,1,0,0,1
2017,1,0,1,0
2199,2,0,0,1
6993,2,0,0,1
4699,1,0,0,0
6621,3,0,0,1
2620,4,0,1,0
372,1,0,0,1
3083,1,0,1,0
2787,2,0,0,1
4982,3,0,0,1
2360,1,0,0,1
154,3,0,1,0
2091,4,0,1,0
3336,2,0,1,0
3407,6,0,0,0
5064,1,0,1,0
6130,1,0,1,0
3517,1,0,0,0
5220,1,1,0,1
3959,5,0,9,1
3304,1,0,1,0
4745,3,0,0,0
2438,2,1,0,1
6863,10,0,1,0
5049,8,0,0,1
5638,1,1,0,0
1749,1,0,0,0
5387,3,0,1,0
4516,2,0,1,0
1737,1,0,0,0
1291,4,0,0,1
957,1,0,0,1
133,2,0,0,1
2037,1,0,1,0
4064,1,0,0,1
4681,1,0,0,0
3329,1,0,1,0
6487,1,0,0,1
6534,1,0,1,0
1301,3,0,1,0
5521,2,0,0,1
4334,2,0,2,0
3848,2,0,2,0
2273,1,0,1,0
6961,2,0,0,1
1521,1,0,1,0
2968,1,0,2,0
627,1,0,0,1
4843,1,0,0,1
6181,1,0,0,1
1650,1,0,0,1
1565,2,0,0,0
5682,1,0,0,0
2492,1,0,0,1
3714,3,0,0,0
104,1,1,2,0
5489,6,0,0,0
1102,2,0,0,1
5145,1,0,1,1
3766,2,0,0,0
6789,2,0,1,0
6578,1,0,3,0
1800,1,0,0,1
1903,1,0,0,1
2527,2,1,1,0
1366,1,0,1,0
5662,2,0,0,1
2340,2,0,0,1
5345,1,0,1,0
1780,1,0,0,1
2956,1,0,0,0
1420,4,0,0,0
2575,1,0,2,0
1796,1,0,0,1
1018,4,0,0,1
3072,2,0,1,0
203,2,0,0,1
228,3,0,0,1
